title,subtitle,date,category,link,main_category
How US election fraud claims changed as Trump won,Both Trump fans and Harris supporters baselessly claimed large-scale voter fraud in Tuesday's election.,2024-11-09,US & Canada,https://www.bbc.com/news/articles/cy9j8r8gg0do,BBC Verify
Would Donald Trump’s tariffs hurt US consumers?,Trump claims more taxes on trade wouldn't be a cost to the US - almost all economists dispute this.,2024-11-07,US & Canada,https://www.bbc.com/news/articles/c20myx1erl6o,BBC Verify
BBC Verify on claims of Pennsylvania voter fraud,Claims have been spreading on social media alleging voter fraud in Pennsylvania - BBC Verify examines them.,2024-11-01,US & Canada,https://www.bbc.com/news/videos/c9wrp5gnqwvo,BBC Verify
Ros Atkins on... Harris's struggle to distance herself from Biden,The BBC's analysis editor looks at the political tightrope the vice-president has to walk to present a new vision.,2024-10-31,US & Canada,https://www.bbc.com/news/videos/cpqdl1r3p0yo,BBC Verify
"No, Hurricane Milton was not 'engineered'",Social media is awash with bogus claims that Hurricane Milton has been “engineered”. What are the facts? ,2024-10-10,BBC Verify,https://www.bbc.com/news/articles/cx2lyzw7xwxo,BBC Verify
Biden condemns misinformation about hurricane,BBC Verify looks into claims made about the US government's response to Hurricane Helene. ,2024-10-10,US & Canada,https://www.bbc.com/news/articles/czd1q9q9gl9o,BBC Verify
Fake 'Kamala Harris ad' used AI voice and UK department store advert,BBC Verify analysed a false post claiming to show a pro-abortion campaign ad that has widely circulated on social media.,2024-10-04,US & Canada,https://www.bbc.com/news/videos/cqjrwkw128no,BBC Verify
Smear campaign against celebrity-endorsed nature reserve exposed,How did a Philippine nature reserve get caught up in an information battle?,2024-09-28,Asia,https://www.bbc.com/news/articles/cp39zvv6kl4o,BBC Verify
Baseless claim about Harris crash spread by mysterious website,The false story has been viewed millions of times online - we break down how you can know it was fake.,2024-09-05,BBC Verify,https://www.bbc.com/news/articles/cy4ye15le8xo,BBC Verify
Investigating Musk's far-fetched claim about Democrats importing voters ,"BBC Verify investigates the claim by Elon Musk that Democrats import illegal immigrants to vote.
",2024-11-01,US & Canada,https://www.bbc.com/news/articles/czd5l0d3794o,BBC Verify
Pennsylvania officials reject viral claim about illegal voters,"Pennsylvania officials reject claim that ""illegal voters"" were able to apply for mail-in ballots. ",2024-10-31,US & Canada,https://www.bbc.com/news/articles/ckgzyxwvrnpo,BBC Verify
Ros Atkins on… Would Donald Trump accept defeat?,The BBC's analysis editor examines what happened in 2020 and how the Republican might react if he were to lose again.,2024-10-26,BBC Verify,https://www.bbc.com/news/videos/clyr87g3j31o,BBC Verify
Would Harris's price gouging plan really help US consumers? ,The Democrat has proposed a federal ban in certain circumstances - economists are divided on whether it would work.,2024-10-25,US & Canada,https://www.bbc.com/news/articles/czxv65245kgo,BBC Verify
Fact-checking Kamala Harris's 'media blitz',"BBC Verify fact-checks claims by Kamala Harris about immigration, abortion and the economy.",2024-10-19,BBC Verify,https://www.bbc.com/news/articles/ckg911gl0vdo,BBC Verify
"Russian drones hunt civilians, evidence suggests",Ukrainians tell of their fear as BBC Verify analyses videos appearing to show drone strikes on civilians.,2024-10-31,Europe,https://www.bbc.com/news/articles/c207gz7key6o,BBC Verify
BBC Verify analyses footage of Hamas leader Yahya Sinwar's killing,The BBC's analysis editor Ros Atkins looks at footage said to show Yahya Sinwar's final moments.,2024-10-19,Middle East,https://www.bbc.com/news/videos/cj9jkvrg1kjo,BBC Verify
'Your son will die': How blessing scammers prowl streets,Female crooks are exploiting superstition and family love to swindle other women.,2024-10-17,BBC Verify,https://www.bbc.com/news/articles/cn5zn1l6g5yo,BBC Verify
Analysing videos showing strikes that killed Nasrallah,How the BBC worked out the facts about blasts in Lebanon's capital from clues in social media footage.,2024-09-29,Middle East,https://www.bbc.com/news/videos/cm28l6pnmxko,BBC Verify
'Lashed for a social media photo' in Iran,"Women tell how their posts are being spied on, two years after Mahsa Amini's death rocked Iran.",2024-09-16,Middle East,https://www.bbc.com/news/articles/c9qgq919yl5o,BBC Verify
FBI issues warning over two fake election videos,Evidence seen by the BBC links the videos to a Russian-based operation of election disinformation. ,2024-11-03,BBC Verify,https://www.bbc.com/news/articles/cly2qjel083o,BBC Verify
Is there a £22bn ‘black hole’ in the UK’s public finances?,Economists say the state of public finances should not have come as a complete surprise to the new government.,2024-10-31,BBC Verify,https://www.bbc.com/news/articles/cx2e12j4gz0o,BBC Verify
Would raising employer National Insurance break Labour's pledge?,If the chancellor decides to increase NI for employers in the Budget would that be going back on previous promises?,2024-10-16,BBC Verify,https://www.bbc.com/news/articles/cly4leklk3qo,BBC Verify
Can illegal immigrants really vote in the US election?,It is illegal for non-citizens to vote in the US election - but Donald Trump has repeatedly claimed immigrants are going to.,2024-10-13,BBC Verify,https://www.bbc.com/news/articles/c5yj98grr5lo,BBC Verify
Does US lack relief money for Hurricane Milton?,Some Republicans claim the White House is prioritising funding for foreign countries over hurricane victims – what are the facts?,2024-10-10,BBC Verify,https://www.bbc.com/news/videos/cy5y1w33xkwo,BBC Verify
UN says 2024 is deadliest year for Channel migrants,"So far this year, 52 people have died on the route, with the latest four deaths reported on Saturday.",2024-10-10,BBC Verify,https://www.bbc.com/news/articles/cj9j8r8z90wo,BBC Verify
